1000
Welcome	10000001110011100
forget	10000001110110111
pardon	10000000100111101
lack	10000001011111101
Such	10000001001110110
foul	10000000101110010
Lear	10000000101010101
hath	10000000000011001
Caesar	10000000010011010
sleep	10000000100111110
Take	10000000110000111
Saint	10000001101010101
battle	10000001011101011
follow	10000000100010000
hate	10000001000001000
children	10000001011010011
whose	10000000010110111
vile	10000001011111001
father	10000000000101110
young	10000000010101110
send	10000000101100111
Iago	10000001111000010
Falstaff	10000001110001011
charge	10000000110101100
those	10000000010001110
under	10000000101110100
lord	10000000000010000
sorry	10000001111011011
women	10000001000100101
Claud	10000001010110110
worth	10000000110110011
sent	10000000100101101
MARIA	10000001100101010
town	10000001011000010
woman	10000000010100011
worse	10000001001010101
Madam	10000000111100100
very	10000000001001000
souls	10000001100011001
CASSIO	10000001100001101
VERSION	10000000110100010
every	10000000010010010
fall	10000000011011110
Where	10000000001010111
four	10000001010010000
heaven	10000000001101100
cause	10000000011011001
marry	10000000111100010
brother	10000000001100110
FRANCE	10000001011111000
leave	10000000001100100
wilt	10000000101010111
ONLY	10000000110011010
COLLEGE	10000000110001101
quick	10000001101011100
traitor	10000001010100100
shows	10000001110001000
Into	10000001111010000
Dost	10000001110010011
QUEEN	10000000010100101
says	10000000101010100
sovereign	10000001001010111
Should	10000001001001011
past	10000001010000011
Stay	10000001111010010
second	10000001101011101
summer	10000001111001100
honourable	10000001101011010
valiant	10000001001011011
pass	10000000111110101
further	10000000111100001
Nurse	10000001011010000
bold	10000001010011000
even	10000000011101110
what	10000000000001101
ISABELLA	10000001001000101
hide	10000001100110110
power	10000000011111110
SPEED	10000001010111001
while	10000000111111111
poison	10000001111001000
farewell	10000001000101100
Alas	10000000111110011
Hear	10000001110110001
goes	10000001000100011
ANTONY	10000000100000011
ever	10000000001101001
told	10000000101011111
body	10000000100010010
full	10000000010110000
twere	10000001110011001
honour	10000000001100011
never	10000000000111011
Cassius	10000001111000000
CLOWN	10000000100000101
revenge	10000001010101001
water	10000001001011110
soldiers	10000001000110010
HENRY	10000000010111001
hast	10000000001111011
sing	10000001010110010
along	10000001100011111
strong	10000000111001000
change	10000001001011000
ULYSSES	10000001110001110
LUCIO	10000001011101010
great	10000000001000010
daughter	10000000010100001
Cardinal	10000001110111111
Queen	10000000010111100
JULIA	10000001011011000
Your	10000000001011100
soldier	10000001001011010
action	10000001100000110
quarrel	10000001110000111
makes	10000000011110101
NORTHUMBERLAND	10000001101111001
Antonio	10000001111011101
hither	10000000100001001
love	10000000000001110
Hold	10000001111100001
humour	10000001110111000
DUKE	10000000001110010
shake	10000001110101100
BOLINGBROKE	10000001011111111
When	10000000001000000
Make	10000001000100010
bloody	10000000101100110
brought	10000000111010010
HELENA	10000001000011000
MEMBERSHIP	10000000110011001
Exit	10000000000111000
Therefore	10000000100100101
wars	10000001010011110
teach	10000001110101101
feel	10000001100110100
from	10000000000001011
COPYRIGHT	10000000110010000
would	10000000000010001
prove	10000000101010011
sake	10000001000001100
angry	10000001110010110
arms	10000000100110101
ENOBARBUS	10000001001111011
next	10000001000110000
fortune	10000000100100111
live	10000000010000111
doubt	10000001000101001
call	10000000001011111
therefore	10000000011000101
strike	10000001011110110
themselves	10000001000111000
First	10000001111011111
tell	10000000000111101
more	10000000000001111
door	10000001001001101
knows	10000000110100111
holy	10000000111011011
WOLSEY	10000001110010101
These	10000000101100101
purse	10000001111100101
company	10000000110101101
heir	10000001100100011
sister	10000000110111111
hurt	10000001111000101
IAGO	10000000100011100
virtue	10000000111110111
VIOLA	10000001010001001
excellent	10000001101011111
known	10000000111011000
hold	10000000010111000
glad	10000001011001010
must	10000000000100100
TIMON	10000000100111011
Duke	10000000001110111
none	10000000010100100
pride	10000001100110001
word	10000000010000011
ESCALUS	10000001111001110
hour	10000000011110100
this	10000000000000011
work	10000000101001001
soul	10000000010010000
Hamlet	10000001100000010
praise	10000000111111110
learn	10000001011111110
meet	10000000011110110
